Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,20/11/05,Inter,Parma,2,0,H,0,0,D,15,6,9,3,16,18,8,3,2,3,0,0,2.4,0.0,11.0,-11.0,0.32,0.18,8.8,3.4,0,,,,
I1,20/11/05,Lecce,Siena,3,0,H,1,0,H,18,8,12,5,20,19,10,3,2,4,0,0,0.8,1.6,-4.0,0.0,0.15,0.39,5.2,4.6,0,,,,
I1,20/11/05,Livorno,Empoli,2,0,H,1,0,H,14,5,5,2,16,29,4,3,3,1,0,0,2.6,1.0,6.0,-1.0,0.32,0.32,4.4,3.8,0,,,,
I1,20/11/05,Reggina,Cagliari,3,1,H,2,0,H,11,4,7,1,26,27,2,5,2,3,1,1,1.8,0.0,2.0,-8.0,0.23,0.15,6.0,5.2,0,,,,
I1,20/11/05,Sampdoria,Lazio,2,0,H,0,0,D,11,6,8,1,27,18,9,4,3,2,0,0,1.6,0.4,1.0,-6.0,0.34,0.18,6.4,2.2,0,,,,
I1,20/11/05,Treviso,Palermo,2,2,D,2,1,H,8,11,4,6,20,18,4,3,1,0,0,0,0.0,1.0,-7.0,-2.0,0.06,0.2,3.4,6.0,1,,,,
I1,26/11/05,Livorno,Chievo,0,0,D,0,0,D,14,5,2,2,22,30,8,3,2,3,0,0,2.6,2.2,7.0,4.0,0.35,0.48,4.0,4.2,1,,,,
I1,26/11/05,Milan,Lecce,2,1,H,1,0,H,18,10,6,3,14,22,3,0,1,3,0,0,3.0,0.0,10.0,-11.0,0.42,0.0,6.6,4.0,0,,,,
I1,27/11/05,Ascoli,Palermo,1,1,D,0,1,A,5,5,3,2,18,20,0,6,2,3,0,0,1.6,1.0,1.0,-2.0,0.29,0.26,4.8,5.4,1,,,,
I1,27/11/05,Cagliari,Sampdoria,2,0,H,1,0,H,6,9,3,1,23,12,2,7,3,3,0,0,0.8,1.8,-2.0,4.0,0.07,0.33,5.6,5.4,0,,,,
I1,27/11/05,Empoli,Lazio,2,3,A,0,1,A,12,12,8,8,20,16,5,9,1,3,1,0,2.4,0.2,5.0,-8.0,0.41,0.11,4.4,1.8,2,,,,
I1,27/11/05,Juventus,Treviso,3,1,H,2,1,H,11,4,6,3,14,24,3,3,0,0,0,0,3.0,1.2,9.0,-1.0,0.26,0.31,7.6,2.6,0,,,,
I1,27/11/05,Messina,Inter,1,2,A,0,1,A,12,14,6,5,20,12,5,8,2,1,0,0,0.6,1.6,-5.0,0.0,0.13,0.11,6.2,7.2,2,,,,
I1,27/11/05,Parma,Udinese,1,2,A,0,1,A,7,9,2,5,24,23,3,2,2,1,0,0,1.6,0.8,2.0,-7.0,0.24,0.26,5.0,5.4,2,,,,
I1,27/11/05,Roma,Fiorentina,1,1,D,1,0,H,9,8,5,3,22,24,6,4,3,1,1,0,1.4,1.8,0.0,4.0,0.28,0.29,7.2,4.8,1,,,,
